Data;Thermometer
01/03/20 17:01;17.8
01/03/20 17:02;18.5
01/03/20 17:03;18.2
01/03/20 17:04;17.9
01/03/20 17:05;18.4
01/03/20 17:06;18.4
01/03/20 17:07;18.5
01/03/20 17:08;17.7
01/03/20 17:09;17
01/03/20 17:10;17.1
01/03/20 17:11;16.5
01/03/20 17:12;16.7
01/03/20 17:13;16.5
01/03/20 17:14;16.6
01/03/20 17:15;16.9
01/03/20 17:16;17.8
01/03/20 17:17;18
01/03/20 17:18;18.6
01/03/20 17:19;18.2
01/03/20 17:20;17.9
01/03/20 17:21;17.9
01/03/20 17:22;17.4
01/03/20 17:23;16.9
01/03/20 17:24;16.8
01/03/20 17:25;17.3
01/03/20 17:26;17.4
01/03/20 17:27;18.1
01/03/20 17:28;18.4
01/03/20 17:29;18.2
01/03/20 17:30;18.2
01/03/20 17:31;17.9
01/03/20 17:32;17.7
01/03/20 17:33;17.4
01/03/20 17:34;18
01/03/20 17:35;18
01/03/20 17:36;18.1
01/03/20 17:37;18
01/03/20 17:38;18.6
01/03/20 17:39;18.9
01/03/20 17:40;18
01/03/20 17:41;18
01/03/20 17:42;18.3
01/03/20 17:43;18.9
01/03/20 17:44;18.8
01/03/20 17:45;18.7
01/03/20 17:46;19.1
01/03/20 17:47;18.7
01/03/20 17:48;18.4
01/03/20 17:49;18.6
01/03/20 17:50;18.4
01/03/20 17:51;18
01/03/20 17:52;17.8
01/03/20 17:53;18
01/03/20 17:54;18.6
01/03/20 17:55;17.5
01/03/20 17:56;17.1
01/03/20 17:57;16.8
01/03/20 17:58;17.4
01/03/20 17:59;17.6
01/03/20 18:00;18
01/03/20 18:01;18.4
01/03/20 18:02;18.4
01/03/20 18:03;18.5
01/03/20 18:04;19.1
01/03/20 18:05;18.6
01/03/20 18:06;18.9
01/03/20 18:07;19.1
01/03/20 18:08;18.8
01/03/20 18:09;18.8
01/03/20 18:10;17.7
01/03/20 18:11;17.4
01/03/20 18:12;17.5
01/03/20 18:13;17.9
01/03/20 18:14;18.4
01/03/20 18:15;17.8
01/03/20 18:16;17.4
01/03/20 18:17;18
01/03/20 18:18;18.9
01/03/20 18:19;18.4
01/03/20 18:20;18
01/03/20 18:21;17.6
01/03/20 18:22;18.1
01/03/20 18:23;18.1
01/03/20 18:24;18.1
01/03/20 18:25;18.4
01/03/20 18:26;18.3
01/03/20 18:27;18.7
01/03/20 18:28;18.9
01/03/20 18:29;18.7
01/03/20 18:30;19.1
01/03/20 18:31;19.4
01/03/20 18:32;19.2
01/03/20 18:33;19.4
01/03/20 18:34;19.3
01/03/20 18:35;19
01/03/20 18:36;19.6
01/03/20 18:37;19
01/03/20 18:38;18.8
01/03/20 18:39;18.4
01/03/20 18:40;18.8
01/03/20 18:41;19.1
01/03/20 18:42;19.1
01/03/20 18:43;18.5
01/03/20 18:44;17.9
01/03/20 18:45;17.9
01/03/20 18:46;18.3
01/03/20 18:47;18.2
01/03/20 18:48;18.1
01/03/20 18:49;18.8
